key,key:manager,title,description,estimatedCost,acceptanceCriteria,priority,link,isDraft
user-story-01,manager-01,"Implement New Login Feature","Develop and implement a new login system with OAuth integration",80,"Users should be able to log in using their Google or Facebook accounts",MUST,https://acme.example/login-story,false
user-story-02,manager-01,"Create Dashboard UI","Design and build a user-friendly dashboard for data visualization",120,"Dashboard should display real-time analytics with customizable widgets",SHOULD,https://acme.example/dashboard-story,false
user-story-03,manager-01,"Optimize Database Queries","Identify and optimize slow-performing database queries for improved performance",40,"Database queries should execute within milliseconds under expected load",COULD,https://acme.example/database-story,true
user-story-04,manager-01,"Implement Payment Gateway","Integrate a secure payment gateway for processing online transactions",100,"Payment gateway should support major credit cards and PayPal",SHOULD,https://acme.example/payment-story,true
user-story-05,manager-01,"Enhance User Feedback Mechanism","Improve the user feedback mechanism to gather actionable insights",60,"Users should be able to provide feedback easily and receive prompt responses",COULD,https://acme.example/feedback-story,true
user-story-06,manager-01,"A","A short valid description",1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore",WONT,https://short.co,true
user-story-07,manager-01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore*",1000000,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore*",SHOULD,"http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",false
user-story-08,manager-01,"Intermediate Title Length","An intermediate length description for testing purposes",5000,"Database queries should execute within milliseconds under expected load",WONT,https://intermediate-link.example.com/path,true
user-story-09,manager-01,"العظمى واعتلاء","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",100,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore",SHOULD,https://acme.example/payment-story,true
user-story-10,manager-02,"' or 'A'='A","<h1>!</h1>",60,"국민경제의 발전을",WONT,https://acme.example/feedback-story,true
user-story-11,manager-01,"Intermediate Title for Validation","Intermediate description for validation purposes",500,"Acceptance criteria with valid length and content",MUST,https://intermediate-validation.example.com,true
user-story-12,manager-01,"Title with Max Length","Description that reaches the maximum length of 100 characters exactly allowed",1,"Acceptance criteria that reaches the maximum length of 100 characters exactly allowed",COULD,https://max-length-link.example.com,true
user-story-13,manager-01,"Min","Min",1,"Min",MUST,http://m.co,true
